"BUSINESS_NAME","CASE_NUMBER","DBA","LOCATION","NEIGHBORHOOD_NAME","POLICE_DISTRICT_WHEN_LAST_UPDATED","STATUS_CODE","WARD"
"JOSCARRIS 3 INC                         ","17-0490","","3315  WATSON RD","Lindenwood Park","2","ACTIVE","23"
"GORGEOUS GENTS INC.","17-0491","","2707 N TAYLOR AV","The Greater Ville","5","CLOSED","4"
"COURTYARD MANAGEMENT CORP               ","17-0492","","2340  MARKET ST","Downtown West","4","ACTIVE","6"
"ST LOUIS SPORTSERVICE LLC","17-0493","","405 S BROADWAY","Downtown","4","OPEN","7"
"Y & K INC","17-0494","","8200  ALABAMA AV","Patch","1","ACTIVE","11"
"KILROY WAS HERE LLC","17-0495","","720 S 7TH ST","Downtown","4","ACTIVE","7"
"EXPRESS PETROLEUM INC","17-0496","","2601  DELMAR BLVD","JeffVanderLou","4","ACTIVE","6"
"TOP OF THE MET INC","17-0497","","211 N BROADWAY","Downtown","4","CLOSED","7"
"AUSMER ENTERPRISES LLC","17-0498","CRAFTED","3200  SHENANDOAH AV","Tower Grove East","3","ACTIVE","6"
"ANTHONY J DEVOTI LLC                    ","17-0499","","5100  DAGGETT AV","The Hill","2","ACTIVE","10"
"CALDWELL PKG LIQ INC","17-0500","CALDWELLS PKG LIQUOR","4163 N GRAND BLVD","Fairground Neighborhood","6","ACTIVE","3"
"JAMEEL ABDALLAH                         ","17-0501","","5001 N KINGSHIGHWAY BLVD","Mark Twain","6","ACTIVE","1"
"TURNER & BARNES LLC","17-0502","","2921  BELT AV","Wells / Goodfellow","5","CLOSED","22"
"NBC LOUNGE LLC","17-0503","","4621 - 23  DR MARTIN LUTHER KING DR","The Greater Ville","5","ACTIVE","4"
"HENRY VIII ROYAL PUB, LLC","17-0504","","807 N 2ND ST","Downtown","4","CLOSED","7"
"KIEU OANH THI VU","17-0505","","6201  MICHIGAN AV","Carondelet","1","CLOSED","11"
"QUIKTRIP CORPORATION                    ","17-0506","","2851  GRAVOIS AV","Fox Park","3","ACTIVE","6"
"QUIKTRIP CORPORATION                    ","17-0507","","4101  GRAVOIS AV","Dutchtown","1","ACTIVE","25"
"QUIKTRIP CORPORATION                    ","17-0508","","6900  GRAVOIS AV","Boulevard Heights","1","ACTIVE","12"
"SIDNEY STREET CAFE, LLC                 ","17-0509","","2000  SIDNEY ST","Benton Park","3","ACTIVE","9"
"SCOTTISH ARMS LLC                       ","17-0510","","6 S SARAH ST","Central West End","5","ACTIVE","17"
"EL TORITO INC","17-0511","","2753  CHEROKEE ST","Benton Park West","3","ACTIVE","20"
"HAMPTON OIL LLC","17-0512","","1051  HAMPTON AV","Clayton / Tamm","2","CLOSED","24"
"A & M INC                               ","17-0513","","3846  KEOKUK ST","","1","ACTIVE",""
"VOUNG TRAM RESTAURANT LLC","17-0514","","214 N 4TH ST","Downtown","4","ACTIVE","7"
"HARD TIMES LLC","17-0515","","1718  OLIVE ST","Downtown West","4","CLOSED","7"
"THIRD DEGREE LLC","17-0516","THIRD DEGREE","5200  DELMAR BLVD","Central West End","5","ACTIVE","28"
"SEN THAI INC","17-0517","","1221  LOCUST ST","Downtown West","4","CLOSED","5"
"BANH MI SO #1 LLC","17-0518","","4071 S GRAND BLVD","Dutchtown","1","CLOSED","25"
"EAUX DE VIE INC                         ","17-0519","","1725  PARK AV","Lafayette Square","3","ACTIVE","6"
"FRIENDS A MEETING PLACE","17-0520","","716 N COMPTON AV","Midtown","4","CLOSED","19"
"LANDRYS SEAFOOD HOUSE-MISSOURI INC","17-0521","","1822  MARKET ST","Downtown West","4","ACTIVE","6"
"FREEX, LLC","17-0522","","8 S EUCLID AV","Central West End","5","CLOSED","17"
"CHEROKEE STREET CATERING LLC","17-0523","","2837  CHEROKEE ST","Benton Park West","3","CLOSED","20"
"GAYLORD LLC","17-0524","","1860 S 9TH ST","Soulard","3","ACTIVE","7"
"MARCHELLE ENTERPRISES, LLC","17-0525","","3459  CHIPPEWA ST","Gravois Park","3","CLOSED","15"
"C & J'S PACKAGE LIQUOR, LLC","17-0526","","2901  UNION BLVD","Wells / Goodfellow","5","CLOSED","1"
"S H C SR LLC","17-0527","","5005  MACKLIND AV","South Hampton","2","OPEN","16"
"ALL IN GOOD TASTE CATERING LLC","17-0528","","1900  ARSENAL ST","Benton Park","3","CLOSED","9"
"GASLIGHT HOSPITALITY GROUP LLC","17-0529","","354 N BOYLE AV (OLD)","Central West End","5","OPEN","18"
"ANTHONINOS TAVERNA LLC","17-0530","ANTHONIONS TAVERNA","2223  MACKLIND AV","The Hill","2","ACTIVE","10"
"CRUSOES INC","17-0531","ORIGINAL CRUSOES REST & PATRICK MCKEANES","3152  OSCEOLA ST","Mount Pleasant","1","ACTIVE","25"
"GREY FOX LLC                            ","17-0532","","3501 S SPRING AV","Tower Grove South","2","ACTIVE","15"
"PICKLES DELI LLC                        ","17-0533","","22 N EUCLID AV","Central West End","5","ACTIVE","17"
"MAGGIE'S INC","17-0534","","2000  MARKET ST","Downtown West","4","CLOSED","6"
"O S F INTERNATIONAL INC                 ","17-0535","","727 N 1ST ST","Downtown","4","ACTIVE","7"
"MACS CONVENIENCE STORES LLC","17-0536","","35 S GRAND BLVD","Midtown","4","ACTIVE","17"
"MACS CONVENIENCE STORES LLC","17-0537","","1514  HAMPTON AV","Cheltenham","2","ACTIVE","24"
"MACS CONVENIENCE STORES LLC","17-0538","","2105  HAMPTON AV","Clifton Heights","2","ACTIVE","24"
"MACS CONVENIENCE STORES LLC","17-0539","","8200 S BROADWAY","Patch","1","ACTIVE","11"
"CROWN 40 INC","17-0540","CROWN 40","300 S JEFFERSON AV","Downtown West","4","ACTIVE","6"
"GEORGES INVESTMENTS LLC                 ","17-0541","","4573  LACLEDE AV","Central West End","5","ACTIVE","17"
"METROPOLITAN ENTERTAINMENT LLC","17-0542","","2500  OHIO AV","Fox Park","3","ACTIVE","7"
"BAILEYS SOCIAL INC","17-0543","BRIDGE THE","1004  LOCUST ST","Downtown","4","ACTIVE","7"
"SOCIAL HOUSE OF SOULARD LLC","17-0544","SOCIAL HOUSE OF SOULARD THE","1551 S 7TH ST","Soulard","3","ACTIVE","7"
"BUDA INVESTMENTS LLC","17-0545","TOWER TACOS MEXICAN RESTAURANT","3147  CHEROKEE ST","Benton Park West","3","ACTIVE","20"
"2720 CHEROKEE LLC","17-0546","","2720  CHEROKEE ST","Gravois Park","3","CLOSED","9"
"INFUSION MANAGEMENT GROUP, LLC","17-0547","","1128  WASHINGTON AV","Downtown","4","CLOSED","7"
"ALEX HEAD LLC","17-0548","VINO GALLERY THE","4701  MCPHERSON AV","Central West End","5","ACTIVE","28"
"SILVER BALLROOM PINBALL CAFE LLC        ","17-0549","","4701  MORGAN FORD RD","Bevo Mill","1","ACTIVE","14"
"R P GROUP INC","17-0550","","5656  LINDELL BLVD","Bevo Mill","1","CLOSED","14"
"RAMI S FOOD INC","17-0551","","4308  DR MARTIN LUTHER KING DR","Vandeventer","5","OPEN","4"
"APTED HULLING INC","17-0552","DWIGHT DAVIS TENNIS CENTER","5620  GRAND DR","Forest Park","2","ACTIVE","28"
"SPECIAL TYMES BANQUET HALL LLC","17-0553","","5950  NATURAL BRIDGE AV","Wells / Goodfellow","5","CLOSED","22"
"PALADORA CLUB LLC","17-0554","","5620 S GRAND BLVD","Carondelet","1","CLOSED","11"
"RTB MO LLC","17-0555","INTERNATIONAL TAP & BOTTLE HOUSE","1711 S 9TH ST","Soulard","3","ACTIVE","7"
"PIZZERIA TIVOLI INC","17-0556","","5861 S KINGSHIGHWAY BLVD","Princeton Heights","1","ACTIVE","13"
"TASTE OF LEBANON LLC                    ","17-0557","","331 N EUCLID AV","Central West End","5","ACTIVE","28"
"WALTON ASSOCIATES LTD                   ","17-0558","","415 N EUCLID AV","Central West End","5","ACTIVE","28"
"P.A. ENTERPRISES, LLC","17-0559","","5513 PERSHING AVE","","5","CLOSED",""
"MISSOURI ATHLETIC CLUB INC","17-0560","","405  WASHINGTON AV","Downtown","4","ACTIVE","7"
"FIERCE FUSION LLC","17-0561","","4301  ARCO AV","Forest Park Southeast","2","CLOSED","17"
"MUSEUM CONCESSIONS MO INC","17-0562","","701 N 15TH ST SUITE 10A","Downtown West","4","OPEN","5"
"BL RESTAURANT OPERATIONS LLC","17-0563","","14  MARYLAND PLAZA","Central West End","5","CLOSED","28"
"FOUR PENGUINS LLC                       ","17-0564","","4127  MANCHESTER AV","Forest Park Southeast","2","ACTIVE","17"
"SHREE YOGI KRUPA LLC","17-0565","","614  OLIVE ST","Downtown","4","OPEN","7"
"CROWN MART 8 INC","17-0566","CROWN MART KHW","1451 N KINGSHIGHWAY BLVD","Downtown","4","ACTIVE","7"
"MISSOURI CVS PHARMACY #4191             ","17-0567","","4100  GRAVOIS AV","Dutchtown","1","ACTIVE","25"
"KEYPERS LLC                             ","17-0568","","2280 S JEFFERSON AV","McKinley Heights","3","ACTIVE","7"
"DANIELS & JOHNSON LLC","17-0569","","313  BELT AV","DeBaliviere Place","5","CLOSED","28"
"URBAN CHESTNUT BREWING CO INC","17-0570","","3229  WASHINGTON AV","Covenant Blu / Grand Center","4","ACTIVE","19"
"VALERIES SIT & SIP INC","17-0571","","3701  SULLIVAN AV","JeffVanderLou","4","ACTIVE","3"
"ROSALITAS CANTINA LLC","17-0572","","1229  WASHINGTON AV","Downtown West","4","ACTIVE","5"
"GOKUL CORPORATION                       ","17-0573","","6101  DELMAR BLVD","West End","5","ACTIVE","28"
"MIDRIVER RESTAURANTS LLC","17-0574","","4550  FOREST PARK AV","Central West End","5","ACTIVE","17"
"MIDRIVER RESTAURANTS LLC","17-0575","","4680 CHIPPEWA ST","","1","CLOSED",""
"SHANGHAI INN INC                        ","17-0576","","217 N 7TH ST","Downtown","4","ACTIVE","7"
"EVANTI GROUP LLC","17-0577","","3143-45 S GRAND BLVD","Tower Grove South","2","OPEN","15"
"M A DRURY LLC","17-0578","HISTORIC CROSSROADS","2201 S 7TH ST","Soulard","3","ACTIVE","7"
"FKG OIL COMPANY                         ","17-0579","","3751 S JEFFERSON AV","Gravois Park","3","ACTIVE","20"
"CLUB PREMIER LLC","17-0580","PREMIER LOUNGE","5967  DR MARTIN LUTHER KING DR","Wells / Goodfellow","5","ACTIVE","22"
"LOMB INC","17-0581","","316  MARKET ST","Downtown","4","ACTIVE","7"
"CHARLES P STANLEY CIGAR CO LLC","17-0582","CHARLES P STANLEY CIGAR CO","1000  WASHINGTON AV","Downtown","4","ACTIVE","7"
"AMA RESTAURANT GROUP","17-0583","","4584  LACLEDE AV (Old)","Central West End","5","CANCELLED","17"
"ST LOUIS CHOCOLATES INC                 ","17-0584","","920  OLIVE ST","Downtown","4","ACTIVE","7"
"ON BROADWAY ENTERPRISES LLC             ","17-0585","","8815 N BROADWAY ","Baden","6","ACTIVE","2"
"QUINCY STREET BISTRO LLC","17-0586","","6931  GRAVOIS AV","Princeton Heights","1","CLOSED","12"
"HEAVY ANCHOR LLC (THE)","17-0587","","5226  GRAVOIS AV","Bevo Mill","1","ACTIVE","13"
"MOTO GRILLE INVESTORS LLC","17-0588","","3407  OLIVE ST","Covenant Blu / Grand Center","4","CLOSED","19"
"MOCKINGBYRD DESIGNS LLC","17-0589","","2641  CHEROKEE ST","Benton Park West","3","CLOSED","9"
"HARLEM TAP ROOM LLC                     ","17-0590","","4161  DR MARTIN LUTHER KING DR","The Ville","5","ACTIVE","4"
"MEYER'S GROVE, LLC","17-0591","","4510  MANCHESTER AV","Forest Park Southeast","2","CLOSED","17"
"GERBI INC","17-0592","","3210 S GRAND BLVD","Tower Grove East","3","OPEN","8"
"EVEREST LLC","17-0593","","4145  MANCHESTER AV","Forest Park Southeast","2","ACTIVE","17"
"GRAND PRIX BEVERAGE LLC","17-0594","","8100  WATER ST","Patch","1","ACTIVE","11"
"MIDTOWN SPORTS BAR & GRILL LLC","17-0595","MIDTOWN SPORTS BAR & GRILL","1923  PRAIRIE AV","JeffVanderLou","4","CLOSED","5"
"KARAM INC","17-0596","","1148  UNION BLVD","Academy","5","ACTIVE","26"
"BI STATE DEVELOPMENT AGENCY","17-0597","BECKY THATCHER","50 S LEONOR K SULLIVAN BLVD","","4","ACTIVE",""
"KAQANIKU LLC","17-0598","","4747  MORGAN FORD RD","Bevo Mill","1","CLOSED","14"
"MATHEW'S KITCHEN LLC","17-0599","","5625  HAMPTON AV","St. Louis Hills","2","CLOSED","16"
"JOSE LUIS FLORES                        ","17-0600","","2817  CHEROKEE ST","Benton Park West","3","ACTIVE","20"
"STAR SHOP INC","17-0601","","3934 S GRAND BLVD","Dutchtown","3","CLOSED","20"
"PERENNIAL PARTNERS LLC","17-0602","","8125  MICHIGAN AV","Patch","1","ACTIVE","11"
"ARCELIAS RESTAURANT LLC","17-0603","","2001  PARK AV","Lafayette Square","3","CLOSED","6"
"MUSERS PUB LLC","17-0604","","6594  SCANLAN AV","Lindenwood Park","2","CLOSED","23"
"FOREST PARK CATERING CO INC","17-0605","","310  DEBALIVIERE AV","DeBaliviere Place","5","CLOSED","28"
"BLOOD & SAND LLC","17-0606","","1500  ST CHARLES ST","Downtown West","4","CLOSED","6"
"LAWRENCE E. SMITH SR.","17-0607","","4247 S KINGSHIGHWAY BLVD","South Hampton","1","CLOSED","14"
"CIVIL LIFE BREWING COMPANY LLC THE","17-0608","CIVIL LIFE BREWING COMPANY LLC THE","3714  HOLT AV","Tower Grove South","2","ACTIVE","15"
"LEVY PREMIUM FOODSERVICE LTD PRT        ","17-0609","","1400  MARKET ST","Downtown West","4","ACTIVE","7"
"GRILL C NUMBER THREE LLC","17-0610","","601 N GRAND BLVD","Covenant Blu / Grand Center","4","CLOSED","19"
"EMBASSY SUITES MANAGEMENT LLC","17-0611","","610 N 7TH ST","Downtown","4","ACTIVE","7"
"BLONDIES COFFEE AND WINE BAR LLC","17-0612","BLONDIES COFFEE AND WINE BAR","1301  WASHINGTON AV","Downtown West","4","ACTIVE","6"
"NEIGHBORHOOD BAR & GRILL LLC","17-0613","NEIGHBORHOOD BAR & GRILL","4335 N BROADWAY","Near North Riverfront","4","ACTIVE","2"
"G & M INVESTORS LLC","17-0614","","5003  NATURAL BRIDGE AV","Mark Twain / I-70 Industrial","6","ACTIVE","22"
"EPIC HOSPITALITY LLC","17-0615","EPIC PIZZA AND SUBS","1711 S 9TH ST","Soulard","3","ACTIVE","7"
"WASHINGTON AVE POST LLC","17-0616","","1315  WASHINGTON AV","Downtown West","4","CLOSED","6"
"MONTYS SANDWICH COMPANY LLC","17-0617","","200 N BROADWAY","Downtown","4","CLOSED","7"
"HANNAH INC","17-0618","","2724  WATSON RD","Clifton Heights","2","CLOSED","24"
"TWO OF A KIND 2 LLC","17-0619","","6029  NATURAL BRIDGE AV","Mark Twain / I-70 Industrial","6","OPEN","22"
"DIATANA LLC","17-0620","","3757  LACLEDE AV","Midtown","4","CLOSED","19"
"CATERING ST LOUIS INC                   ","17-0621","","3800  CHOUTEAU AV","","2","ACTIVE",""
"ENERGY MARKETING 710 LLC","17-0622","","4500 N BROADWAY","Near North Riverfront","4","ACTIVE","2"
"OKELLEYS AT THE BALLPARK, INC.","17-0623","","756 S 4TH ST","Downtown","4","CLOSED","7"
"UNDER LOUNGE SPORTS BAR & CAFE LLC THE","17-0624","","5045  GRAVOIS AV","Bevo Mill","1","CLOSED","14"
"CARUSO'S DELI","17-0625","","1312  WASHINGTON AV","Downtown West","4","CLOSED","6"
"INNKEEPERS RESTAURANT SERVICES LLC","17-0626","","4353  MANCHESTER AV","Forest Park Southeast","2","CLOSED","17"
"CUZS LLC","17-0627","","1530 S 7TH ST","Kosciusko","3","CLOSED","7"
"ZAMANI GAS MARK LLC","17-0628","","3165 S KINGSHIGHWAY BLVD","Southwest Garden","2","ACTIVE","10"
"SJS LLC","17-0629","","220 S TUCKER BLVD","Downtown","4","ACTIVE","7"
"ISLAND FROZEN YOGURT LLC THE","17-0630","ISLAND FROZEN YOGURT THE","1009  RUSSELL BLVD","Soulard","3","ACTIVE","7"
"LA ONDA LLC","17-0631","","4920  NORTHRUP AV","The Hill","2","ACTIVE","10"
"SOHO RESTAURANT & LOUNGE, LLC","17-0632","","4229  MANCHESTER AV","Forest Park Southeast","2","CLOSED","17"
"MMMMM DP2 LLC","17-0633","","6118  DELMAR BLVD","Skinker / DeBaliviere","5","CLOSED","28"
"J & P PIZZA VENTURES LLC","17-0634","","12 S EUCLID AV","Skinker / DeBaliviere","5","CLOSED","28"
"MAHER DAOUD INC                         ","17-0635","","111 N NEWSTEAD AV","Central West End","5","ACTIVE","17"
"TTT FODDS LLC","17-0636","","1122  WASHINGTON AV","Downtown","4","CLOSED","7"
"SWEETIE PIES UPPER CRUST LLC            ","17-0637","","3643  DELMAR BLVD","Covenant Blu / Grand Center","4","ACTIVE","19"
"PI AT THE MX LLC","17-0638","","610  WASHINGTON AV","Downtown","4","ACTIVE","7"
"HILTON MANAGEMENT, LLC","17-0639","","400  OLIVE ST","Downtown","4","CLOSED","7"
"SAINT LOUIS BREWERY LLC THE","17-0640","SCHLAFLY BEER","2100  LOCUST ST (OLD)","Downtown West","4","CLOSED","6"
"CONVENTION HOSPITALITY PARTNERS         ","17-0641","","701  CONVENTION PLAZA ","Downtown","4","ACTIVE","7"
"ROOFTOP CAFE LLC","17-0642","","701 N 15TH ST","Downtown West","4","ACTIVE","5"
"MORRISON MANAGEMENT SPECIALISTS INC","17-0643","","4901  FOREST PARK AV","Central West End","5","CLOSED","28"
"AAB ENTERPRISES LLC                     ","17-0644","","1335  CONVENTION PLAZA ","Downtown West","4","ACTIVE","5"
"BIG CREEK MANAGEMENT LLC","17-0645","SOUTHWEST DINER","2625  ABBOTT PL","Ellendale","2","CLOSED","24"
"ALS CAFE LLC","17-0646","ALS CAFE","2500  DEKALB ST","Kosciusko","3","CLOSED","9"
"POOH'S BAR & GRILL, LLC                 ","17-0647","","6023  VIRGINIA AV","Carondelet","1","ACTIVE","11"
"S & M BAR & GRILL LLC","17-0648","","7637  IVORY AV","Patch","1","OPEN","11"
"RENEES BAR & GRILL LLC","17-0649","","5860  DELMAR BLVD","Skinker / DeBaliviere","5","CLOSED","26"
"GRAVOIS FOOD & BEVERAGE LLC","17-0650","","2716  GRAVOIS AV","Benton Park West","3","CLOSED","9"
"IN CHOI SPORTS BAR & GRILL LLC","17-0651","STELLA BLUES RESTAURANT & BAR","3269  MORGAN FORD RD","Tower Grove South","2","ACTIVE","10"
"SOHA LLC","17-0652","","2605  HAMPTON AV","Clifton Heights","2","ACTIVE","24"
"CJ INVESTMENTS GROUP LLC                ","17-0653","","4054  CHOUTEAU AV","Forest Park Southeast","2","ACTIVE","17"
"MEZZANINE 81, LLC","17-0654","","2617  WASHINGTON AV","Midtown","4","CLOSED","6"
"JOHN E NICKS LLC","17-0655","","5247  DELMAR BLVD","","5","ACTIVE",""
"BENGELINA LLC","17-0656","ELAIA/OLIO","1634  TOWER GROVE AV","Botanical Heights","2","ACTIVE","17"
"CI LL INC","17-0657","CHESHIRE RESTAURANT","7036  CLAYTON AV","Hi-Point","2","ACTIVE","24"
"SNARFS MX LLC","17-0658","","614  WASHINGTON AV","Downtown","4","ACTIVE","7"
"BRANICA LLC","17-0659","PAN D OLIVE","1603  MCCAUSLAND AV","Franz Park","2","ACTIVE","24"
"TROYS JAZZ GALLERY LLC","17-0660","","4519  OLIVE ST","Central West End","5","CLOSED","18"
"FORTUNE TELLER BAR LLC","17-0661","","2635  CHEROKEE ST","Clifton Heights","2","ACTIVE","24"
"WS ACQUISITION CO LLC","17-0662","","820  OLIVE ST","Downtown","4","CLOSED","7"
"RAZ THREE INVESTMENTS INC","17-0663","","4923  HAMPTON AV","St. Louis Hills","2","ACTIVE","16"
"ENTRE UNDERGROUND LLC","17-0664","","360 N BOYLE AV","Central West End","5","CLOSED","18"
"EL TORO MEXICAN RESTAURANT, LLC","17-0665","","3710 S KINGSHIGHWAY BLVD","Tower Grove South","2","CLOSED","14"
"UMIYA LLC                               ","17-0666","","1391  HODIAMONT AV","Hamilton Heights","5","ACTIVE","22"
"GANTCO LLC","17-0667","","6245  GRAVOIS AV","Princeton Heights","1","ACTIVE","13"
"ROBUST DOWNTOWN MX LLC","17-0668","","635  WASHINGTON AV","Downtown","4","CLOSED","7"
"HJR RESTAURANTS LLC","17-0669","","1802 S BROADWAY","Kosciusko","3","CLOSED","7"
"GSR RESTAURANTS MO LLC                  ","17-0670","","4045  LINDELL BLVD","Central West End","5","ACTIVE","18"
"SPIRIT OF 21 LTD","17-0671","","900  SPRUCE ST","Downtown","4","CLOSED","7"
"HAMPTON BP OPERATIONS LLC","17-0672","","1104  HAMPTON AV","Cheltenham","2","CLOSED","17"
"SOMETHING SPECIAL BY LILLIAN INC        ","17-0673","","3265 S JEFFERSON AV","Benton Park West","3","ACTIVE","9"
"MX MOVIES LLC","17-0674","","618  WASHINGTON AV","Downtown","4","ACTIVE","7"
"SHAKRA INC                              ","17-0675","","1187 S KINGSHIGHWAY BLVD","Kings Oak","2","ACTIVE","10"
"CHUNKY BOY BAR & GRILL LLC              ","17-0676","","2917 S JEFFERSON AV","Benton Park West","3","ACTIVE","9"
"GRC CAPITAL RESOURCE MANAGEMENT LLC     ","17-0677","","6487  MANCHESTER AV","Franz Park","2","ACTIVE","24"
"SERVICE SYSTEMS ASSOCIATES INC          ","17-0678","","5050  OAKLAND AV","Kings Oak","2","ACTIVE","17"
"COOKIE CHEF LLC","17-0679","RUSSELLS ON MACKLIND","5400  MURDOCH AV","South Hampton","2","ACTIVE","16"
"SUNS COMPANY LLC","17-0680","","910  OLIVE ST","Downtown","4","CLOSED","7"
"SOUL PEPPERS, LLC","17-0681","","8901  RIVERVIEW DR","Baden","6","CLOSED","2"
"WEST END RESTAURANT & EATERY LLC","17-0682","","29 N SARAH ST","Central West End","5","CLOSED","17"
"SWP INC","17-0683","","1820  MARKET ST","Downtown West","4","ACTIVE","6"
"TREE HOUSE STL LLC                      ","17-0684","","3177 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
"A BONO ENTERPRISES INC                  ","17-0685","","4500  HAMPTON AV","South Hampton","2","ACTIVE","16"
"TOTO LLC                                ","17-0686","","5641 S KINGSHIGHWAY BLVD","Princeton Heights","1","ACTIVE","13"
"MISSION TACO LLC","17-0687","","6229  DELMAR BLVD","West End","5","ACTIVE","28"
"PARK PACIFIC RESTAURANT INVESTORS LLC","17-0688","","200 N 13TH ST","Downtown West","4","CLOSED","7"
"SHAMELESS GROUNDS LLC                   ","17-0689","","1901  WITHNELL AV","Benton Park","3","ACTIVE","9"
"LOCAL HARVEST GROCERY LLC","17-0690","","3108  MORGAN FORD RD","Tower Grove South","2","ACTIVE","15"
"STILL 630 LLC","17-0691","STILL 630","1000 S 4TH ST","La Salle","3","ACTIVE","7"
"BLANK SPACE LLC","17-0692","BLANK SPACE","2847  CHEROKEE ST","Benton Park West","3","ACTIVE","20"
"KIM NGAN VIETNAMESE CUISINE LLC","17-0693","","3863 S GRAND BLVD","Carondelet","1","CLOSED","11"
"ALPHA BREWING COMPANY LLC","17-0694","ALPHA BREWING CO","1409  WASHINGTON AV","Downtown West","4","CLOSED","6"
"SHREE OM ENT INC                        ","17-0695","","7842 N BROADWAY ","Downtown","4","ACTIVE","7"
"CPPH LLC","17-0696","","212 N KINGSHIGHWAY BLVD","Downtown","4","CLOSED","7"
"LAFAYETTE WINE COMPANY                  ","17-0697","","1911  PARK AV","Lafayette Square","3","ACTIVE","6"
"BON APPETIT MANAGEMENT COMPANY","17-0698","","1  FINE ARTS DR","Forest Park","2","CLOSED","28"
"TAMM AVENUE GRILL LLC","17-0699","","1223  TAMM AV","Clayton / Tamm","2","OPEN","24"
"MCG RESTAURANT GROUP, LLC","17-0700","","5  MARYLAND PLAZA","Central West End","5","CLOSED","28"
"PLST INC","17-0701","","1403  WASHINGTON AV","Downtown West","4","CLOSED","6"
"JAX CAFE, LLC","17-0702","","2901  SALENA ST","Benton Park","3","CLOSED","9"
"LINDNERS PUB INC","17-0703","","2925  MOUNT PLEASANT ST","Mount Pleasant","1","CLOSED","9"
"MELT ON CHEROKEE LLC","17-0704","","2712  CHEROKEE ST","Gravois Park","3","CLOSED","9"
"STEFANO'S, LLC","17-0705","","504 N 10TH ST","","","CLOSED",""
"GAMLIN LLC","17-0706","","234-36 N EUCLID AV","Central West End","5","CLOSED","28"
"NATURAL BRIDGE SUPERMARKET LLC","17-0707","","4331  NATURAL BRIDGE AV","O'Fallon","6","CLOSED","21"
"CASITA COQUI STL LTD","17-0708","","2800 N 14TH ST","Old North St. Louis","4","ACTIVE","5"
"RTB MO LLC","17-0709","","16 S EUCLID AV","Central West End","5","CLOSED","17"
"DAR AL BAIDA CASABLANCA LLC","17-0710","","3191 S GRAND BLVD","Tower Grove South","2","CLOSED","15"
"URBAN EATS HOLDINGS INC                 ","17-0711","","3301  MERAMEC ST","Dutchtown","3","ACTIVE","25"
"LION PETROLEUM INC                      ","17-0712","","733 S VANDEVENTER AV","Forest Park Southeast","2","ACTIVE","17"
"N J PIZZA LLC","17-0713","","7700  IVORY AV","Patch","1","CLOSED","11"
"SARAH MANCHESTER LLC","17-0714","","400  WASHINGTON AV","Downtown","4","CLOSED","7"
"SLAWIN TALLEY BEVERAGES LLC             ","17-0715","","3207  WASHINGTON AV","Covenant Blu / Grand Center","4","ACTIVE","19"
"JAI GANESHA LLC","17-0716","","3436  UNION BLVD","Covenant Blu / Grand Center","4","OPEN","19"
"LOVES TRAVELS STOPS & COUNTRY STORES    ","17-0717","","6124 N BROADWAY ","North Riverfront","6","ACTIVE","2"
"EMPERORS WOK LLC","17-0718","","20  HAMPTON VILLAGE PLAZA","South Hampton","2","CLOSED","16"
"CORNER BISTRO LLC","17-0719","","4993  LOUGHBOROUGH AV","South Hampton","2","CLOSED","16"
"P&M FOODS LLC","17-0720","","4144 S GRAND BLVD","Dutchtown","3","CLOSED","25"
"GROVE EAST PROVISIONS LLC","17-0721","","3101  ARSENAL ST","Tower Grove East","3","CLOSED","6"
"EL TAPATIO OF ST LOUIS LLC","17-0722","","3279  HAMPTON AV","Lindenwood Park","2","ACTIVE","24"
"C H ENTERTAINMENT LLC","17-0723","ELEMENT RESTAURANT & LOUNGE","1419  CARROLL ST","Peabody, Darst, Webbe","3","CLOSED","7"
"HEAVY RIFF BREWING COMPANY, LLC         ","17-0724","","6413  CLAYTON AV","Clayton / Tamm","2","ACTIVE","24"
"CROWN MART 15 INC                       ","17-0725","","3868  DR MARTIN LUTHER KING DR","Covenant Blu / Grand Center","4","ACTIVE","19"
"AYUSH ONE LLC","17-0726","NATURAL BRIDGE MOBIL","5750  NATURAL BRIDGE AV","Wells / Goodfellow","5","ACTIVE","22"
"EVANGE LLC                              ","17-0727","","512 N EUCLID AV","Central West End","5","ACTIVE","28"
"3 BRO'S LLC","17-0728","","5827 S BROADWAY","Carondelet","1","CLOSED","11"
"BACON EGGN CHEESE LLC","17-0729","HALFWAY HAUS","7900  MICHIGAN AV","Carondelet","1","ACTIVE","11"
"MJ BEVOLUTION, INC.","17-0730","","6600  MANCHESTER AV","Ellendale","2","CLOSED","24"
"MICHIGAN CONVENIENCE MART, LLC","17-0731","","6601  MICHIGAN AV","Carondelet","1","CLOSED","11"
"ZARZIS LLC","17-0732","EGG","2200  GRAVOIS AV","Benton Park","3","ACTIVE","7"
"TED SQUARED LLC                         ","17-0733","","1000  MISSISSIPPI AV","Lafayette Square","3","ACTIVE","6"
"KITCHEN SINK THE LLC","17-0734","","255  UNION BLVD","","","CLOSED",""
"ICYETIS LLC","17-0735","TAVERN CWE","390 N EUCLID AV","Central West End","5","CLOSED","28"
